coordenadas,Record Count
"25.7250931, -100.3426353",1
"25.65986011, -100.311472",1
"25.72481089, -100.3906489",1
"25.60068369, -100.2655669",1
"25.67114545, -100.3305682",1
"25.77505976, -100.4008824",1
"25.72847154, -100.3687666",1
"25.70726935, -100.3252573",1
"25.68946091, -100.3232731",1
"25.77720343, -100.3843369",1
"25.79288088, -100.3801645",1
"25.6796948, -100.3060533",1
"25.69490786, -100.3455156",1
"25.64199406, -100.2787983",1
"25.72718283, -100.3881715",1
"25.6967657, -100.3318991",1
"25.68152402, -100.2990999",1
"25.68099738, -100.294232",1
"25.67015185, -100.3336264",1
"25.70544347, -100.3423886",1
"25.71188685, -100.3723701",1
"25.79041985, -100.3790252",1
"25.683697, -100.326861",1
"25.68374008, -100.3191324",1
"25.77443972, -100.3715682",1
"25.7342259, -100.3485031",1
"25.69956529, -100.3168238",1
"25.71644402, -100.3640116",1
"25.67939906, -100.3197171",1
"25.68257317, -100.2827407",1
"25.76447342, -100.3777244",1
"25.68591205, -100.3149997",1
"25.72070703, -100.3595439",1
"25.68374079, -100.2918401",1
"25.6704671, -100.2987689",1
"25.69395878, -100.3468364",1
"25.6771692, -100.3073707",1
"25.68718803, -100.35646",1
"25.65297377, -100.2771755",1
"25.68202249, -100.2766009",1
"25.6599983, -100.2971139",1
"25.67704043, -100.3142701",1
"25.67637194, -100.3321047",1
"25.7767041, -100.3967285",1
"25.7045654, -100.3332831",1
"25.63365, -100.2722613",1
"25.69891074, -100.2872691",1
"25.7597904, -100.3804874",1
"25.6903127, -100.3395509",1
"25.68258071, -100.3085793",1
"25.75183099, -100.4108368",1
"25.7097055, -100.3009154",1
"25.67672983, -100.3191722",1
"25.74916326, -100.3625054",1
"25.75258097, -100.3631094",1
"25.7350058, -100.3459906",1
"25.68641648, -100.3362015",1
"25.7376362, -100.3893835",1
"25.66033474, -100.2800496",1
"25.6787958, -100.3061862",1
"25.6845158, -100.3403654",1
"25.740649, -100.33999",1
"25.66876998, -100.2824942",1
"25.7127679, -100.3729609",1
"25.73635797, -100.3690896",1
"25.67356011, -100.347419",1
"25.68194608, -100.2951023",1
"25.61260734, -100.2671823",1
"25.70714395, -100.3552197",1
"25.7527855, -100.3928213",1
"25.7567758, -100.3509303",1
"25.65793897, -100.2964427",1
"25.7341584, -100.3486305",1
"25.68667963, -100.3119208",1
"25.68670698, -100.2953875",1
"25.69037654, -100.3442745",1
"25.65914292, -100.3126619",1
"25.7379602, -100.3527723",1
"25.67485097, -100.3261064",1
"25.66195683, -100.2935443",1
"25.674563, -100.347279",1
"25.6891295, -100.3665196",1
"25.79296503, -100.3831148",1
"25.6622922, -100.2746388",1
"25.68801988, -100.3426736",1
"25.66542046, -100.3111449",1
"25.70930575, -100.2877465",1
"25.70407692, -100.3074584",1
"25.704591, -100.3296626",1
"25.68168462, -100.3242161",1
"25.75452872, -100.3952939",1
"25.684773, -100.320927",1
"25.64066058, -100.3053624",1
"25.67360172, -100.314784",1
"25.644825, -100.2774933",1
"25.68496426, -100.3305971",1
"25.7533296, -100.3583218",1
"25.72355129, -100.3378425",1
"25.70634525, -100.3269359",1
"25.72422567, -100.3270831",1
"25.6516643, -100.3061951",1
"25.61752, -100.27099",1
"25.69493605, -100.355283",1
"25.7022431, -100.3513941",1
"25.72559305, -100.3234613",1
"25.76947112, -100.3853817",1
"25.66875735, -100.3094834",1
"25.6626441, -100.2956209",1
"25.67683113, -100.2899937",1
"25.67604854, -100.3423665",1
"25.67876858, -100.3140328",1
"25.646223, -100.290109",1
"25.67181386, -100.3123269",1
"25.66179996, -100.3172258",1
"25.77924345, -100.3916983",1
"25.66684925, -100.3197457",1
"25.67566566, -100.3094887",1
"25.70464589, -100.3374637",1
"25.56438605, -100.2264874",1
"25.70808143, -100.2817832",1
"25.70304932, -100.3426014",1
"25.70055152, -100.3374475",1
"25.674527, -100.396608",1
